another-redis-desktop-manager-bin 1.7.1-2
anydesk-bin 8.0.2-1
bibata-cursor-theme-bin 2.0.7-1
binder_linux-dkms-git r61.1434f1e-1
bridge-utils 1.7.1-5
bridge-utils-debug 1.7.1-5
bruno 3.3.0-2
bruno-debug 3.3.0-2
crush-bin-debug 0.70.0-1
debtap 3.6.3-1
discord-chat-exporter-cli 2.47.1-4
discord-chat-exporter-core 2.47.1-4
electron12-bin 12.2.3-3
electron12-bin-debug 12.2.3-3
elephant-bin 2.21.0-1
elephant-bluetooth-bin 2.21.0-1
elephant-calc-bin 2.21.0-1
elephant-clipboard-bin 2.21.0-1
elephant-desktopapplications-bin 2.21.0-1
elephant-files-bin 2.21.0-1
elephant-menus-bin 2.21.0-1
elephant-providerlist-bin 2.21.0-1
elephant-symbols-bin 2.21.0-1
elephant-todo-bin 2.21.0-1
elephant-unicode-bin 2.21.0-1
elephant-websearch-bin 2.21.0-1
fcitx5-mcbopomofo-git 3.0.r37.17252f3-1
fcitx5-mcbopomofo-git-debug 3.0.r37.17252f3-1
freelens-bin 1.9.0-1
fresh-editor-bin 0.3.8-1
fzf-tab 1.3.0-2
geocode-glib-2 3.26.4-5.3
geocode-glib-common 3.26.4-5.3
gitlab-ci-local 4.72.0-1
google-chrome 148.0.7778.178-1
gxml 0.20.4-3
gxml-debug 0.20.4-3
localsend-bin 1.17.0-1
mongodb-compass-bin 1.49.4-1
networkmanager-fortisslvpn 1.4.0-6
networkmanager-fortisslvpn-debug 1.4.0-6
phonon-qt6-mpv 0.1.0-4
phonon-qt6-mpv-debug 0.1.0-4
planify 4.19.4-1
planify-debug 4.19.4-1
postman-bin 12.11.0-1
qimgv-git 1.0.2.r190.g3127a2d-1
qimgv-git-debug 1.0.2.r190.g3127a2d-1
qt5-remoteobjects 5.15.18-1
qt5-remoteobjects-debug 5.15.18-1
qt5-webchannel-debug 5.15.18+kde+r3-1
qt5-webengine-debug 5.15.19-4
spotify 1:1.2.89.539-1
sunshine-debug 2025.924.154138-3
swayosd-git 0.2.1.r32.g4df09e1-1
swayosd-git-debug 0.2.1.r32.g4df09e1-1
walker-bin 2.16.2-1
webkit2gtk 2.50.6-7
webkit2gtk-debug 2.50.6-7
wlogout-debug 1.2.2-0
wombat-bin 0.5.0-2
wombat-bin-debug 0.5.0-2
xf86-video-vmware-debug 13.4.0-4
yay-debug 12.5.7-1
yp-tools 4.2.3-6
yp-tools-debug 4.2.3-6
yt-dlp-git 2026.03.17.r1.gf01e1a1-1
zoom 7.0.5-1
zsh-theme-powerlevel10k-git r4322.604f19a9-1
zsh-theme-powerlevel10k-git-debug r4322.604f19a9-1
