acpid 2.0.34-2.1
adw-gtk-theme 6.4-1
alacritty 0.17.0-1.1
amd-ucode 1:20260410-1
amdgpu_top 0.11.5-1.1
another-redis-desktop-manager-bin 1.7.1-2
anydesk-bin 8.0.2-1
apache 2.4.67-1.1
awww 0.12.0-1.1
base 3-3
base-devel 1-2
bat 0.26.1-2.1
bc 1.08.2-1.1
bibata-cursor-theme-bin 2.0.7-1
bind 9.20.23-1.1
binder_linux-dkms-git r61.1434f1e-1
blueman 2.4.6-2.1
bluetui 0.8.1-2.1
bluez 5.86-6.1
bluez-utils 5.86-6.1
bootconfig 7.0.9-1
bottom 0.12.3-2.1
bpf 7.0.9-1
brave-bin 1:1.90.124-1
bridge-utils 1.7.1-5
bruno 3.3.0-2
btop 1.4.7-1.1
btrfs-progs 7.0-1
cachyos-keyring 20240331-1
cachyos-mirrorlist 27-1
cachyos-v3-mirrorlist 27-1
cachyos-v4-mirrorlist 27-1
cantarell-fonts 1:0.311-1
chatty 0.8.9-3.1
chromium 148.0.7778.178-1
clang 22.1.5-2
cliphist 1:0.7.0-2.1
clipmenu 6.2.0-3
cloc 2.08-1
cmatrix 2.0-4.1
code 1.119.0-1.1
cpupower 7.0.9-1
cronie 1.7.2-2.1
debtap 3.6.3-1
discord-chat-exporter-cli 2.47.1-4
dmenu 5.4-1.1
dmidecode 3.7-1.3
dnsmasq 2.92.rel2-2.1
docker 1:29.5.1-1.1
docker-compose 5.1.3-1.1
dos2unix 7.5.5-1.1
downgrade 12.0.1-1
dunst 1.13.2-1.1
efibootmgr 18-4.1
elephant-bin 2.21.0-1
elephant-bluetooth-bin 2.21.0-1
elephant-calc-bin 2.21.0-1
elephant-clipboard-bin 2.21.0-1
elephant-desktopapplications-bin 2.21.0-1
elephant-files-bin 2.21.0-1
elephant-menus-bin 2.21.0-1
elephant-providerlist-bin 2.21.0-1
elephant-symbols-bin 2.21.0-1
elephant-todo-bin 2.21.0-1
elephant-unicode-bin 2.21.0-1
elephant-websearch-bin 2.21.0-1
endeavour 43.0-8.1
eza 0.23.4-3.1
fail2ban 1.1.0-8
fastfetch 2.63.1-1.1
fcitx5-chewing 5.1.11-1.1
fcitx5-chinese-addons 5.1.12-2.1
fcitx5-configtool 5.1.13-1.1
fcitx5-gtk 5.1.6-1.1
fcitx5-mcbopomofo-git 3.0.r37.17252f3-1
fdupes 1:2.4.0-2.1
ffmpegthumbnailer 2.3.0-1.2
file-roller 44.6-2.1
firefox 151.0-1.1
flatpak 1:1.16.6-1.1
freelens-bin 1.9.0-1
fresh-editor-bin 0.3.8-1
fzf-tab 1.3.0-2
gamescope 3.16.23-2
ghex 50.1-1.1
ghostty 1.3.1-2.1
gimp 3.2.4-1
git 2.54.0-1.1
git-delta 0.19.2-1.1
git-filter-repo 2.47.0-3
git-lfs 3.7.1-1.2
gitlab-ci-local 4.72.0-1
glmark2 2023.01-2.1
google-chrome 148.0.7778.178-1
gparted 1.8.1-1.1
grim 1.5.0-2.1
grub 2:2.14-1.1
gst-libav 1.28.3-1
gst-plugin-pipewire 1:1.6.5-1.1
gst-plugins-bad 1.28.3-1
gst-plugins-ugly 1.28.3-1
gum 0.17.0-1.1
gvfs 1.60.0-2
gxml 0.20.4-3
htop 3.5.1-1.1
hugo 0.161.1-1.1
hurl 8.0.1-1.1
